URI (do not change)	Name (do not change)	Status (empty=Public)	Label	Suggested Label	Comment	Suggested Comment	Lydie's comment	Source file
http://nextprot.org/rdf#Colocalizes_with	Colocalizes_with	NEW	Colocalizes with	Colocalizes with		GO qualifier used to modify the GO cellular component annotation of a protein when the protein transiently or peripherically associates  with an organelle or a complex.	pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Located_in	Located_in	NEW	Located in	Located in			pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Enables	Enables	NEW	Enables	Enables			pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Part_of	Part_of	NEW	Part of	Part of			pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Contributes_to	Contributes_to	NEW	Contributes to	Contributes to		GO qualifier used to modify the molecular function annotation of a protein which is a member of a complex that is defined as an “irreducible molecular machine” - where a particular molecular function cannot be ascribed to an individual subunit or small set of subunits of a complex.	pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Is_active_in	Is_active_in	NEW	Is active in	Is active in			pam: valeur pour classe :GoQualifier	
http://nextprot.org/rdf#Severe	Severe	NEW	Severe	Severe			pam: valeur pour classe :Severity	
http://nextprot.org/rdf#Moderate	Moderate	NEW	Moderate	Moderate			pam: valeur pour classe :Severity	
http://nextprot.org/rdf#Mild	Mild	NEW	Mild	Mild			pam: valeur pour classe :Severity	
								
http://nextprot.org/rdf#BRONZE	BRONZE		Bronze	Bronze	Low level of confidence	Quality qualifier describing unreliable annotation or evidence. Excluded from neXtProt.	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#Evidence_at_protein_level	Evidence_at_protein_level		Evidence at protein level	Evidence at protein level	Protein existence is supported by evidence at protein level	Entry whose protein(s) existence is based on evidence at protein level  (PE1).	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#Evidence_at_transcript_level	Evidence_at_transcript_level		Evidence at transcript level	Evidence at transcript level	Protein existence is supported by evidence at transcript level	Entry whose protein existence is based on evidence at transcript level (PE2).	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#GOLD	GOLD		Gold	Gold	High level of confidence	Quality qualifier describing highly reliable annotation or evidence.	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#High	High		High expression detected	High expression detected	High level of expression	Expression of the gene product(s) is high.	in a given organ, tissue, cell type, fluid or gestational structure? to rediscuss after global expression model changes	schema-expression.ttl.vm
http://nextprot.org/rdf#Inferred_from_homology	Inferred_from_homology		Inferred from homology	Inferred from homology	Protein existence is inferred by homology	Entry whose protein existence is based on homology (PE3).                            	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#Integrated	Integrated	Private	Integrated	Integrated	Integrated	Integrated	delete	schema-evidence-list.ttl.vm
http://nextprot.org/rdf#Low	Low		Low expression detected	Low expression detected	Low level of expression	Expression of the gene product(s) is low.		schema-expression.ttl.vm
http://nextprot.org/rdf#Medium	Medium		Medium expression detected	Medium expression detected	Medium level of expression	Expression of the gene product(s) is medium (neither high, nor low).		schema-expression.ttl.vm
http://nextprot.org/rdf#Negative	Negative => Undetectable		No expression detected	No expression detected	Negative level of expression	Expression of the gene product(s) is not detectable.		schema-expression.ttl.vm
http://nextprot.org/rdf#Positive	Positive => Detected		Expression detected	Expression detected	Positive level of expression	Expression of the gene product(s) is detectable.	Expression of the gene product(s) is detected	schema-expression.ttl.vm
http://nextprot.org/rdf#Predicted	Predicted		Predicted	Predicted	Protein existence is supported by some algorithm	Entry whose protein existence is based on a prediction (gene model) (PE4).	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#SILVER	SILVER		Silver	Silver	Medium level of confidence	Quality qualifier describing reliable annotation or evidence.	OK	schema-entry-isoform.ttl.vm
http://nextprot.org/rdf#Selected	Selected	Private	Selected	Selected	Selected	Selected	delete	schema-evidence-list.ttl.vm
http://nextprot.org/rdf#Single	Single	Private	Single	Single	Single	Single	delete	schema-evidence-list.ttl.vm
http://nextprot.org/rdf#Uncertain	Uncertain		Uncertain	Uncertain	Protein existence is uncertain	Entry whose protein existence is uncertain (PE5).	OK	schema-entry-isoform.ttl.vm
								
http://nextprot.org/rdf/db/2DBase-Ecoli	db/2DBase-Ecoli	private	2DBase-Ecoli	2DBase-Ecoli	2D-PAGE Database of Escherichia coli	2D-PAGE Database of Escherichia coli	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
